Date,S&P Composite 1500,S&P U.S. Aggregate Bond Index,60/40
2012-11,0.5392930671149321,0.14936820946197527,0.38332312405374935
2012-12,1.4851286089995752,0.026127110940354914,0.5182048857221377
2013-01,6.637155177272136,-0.5127518582680457,2.8756643532801758
2013-02,7.7868060173187486,-0.04287793683099839,0.8777400726027861
2013-03,11.446621982399375,0.060901596966078664,2.2374013925672065
2013-04,13.148052773008224,0.9163832303431763,1.3630511277161483
2013-05,15.334513424955999,-0.6565711500086224,0.6826946390279454
2013-06,13.940897277682996,-2.089183120721172,-1.4092144766488213
2013-07,18.94768641921648,-1.954635372238278,3.0578925843132487
2013-08,15.777307723702938,-2.383852888130511,-2.0739142236650183
2013-09,19.01747010457948,-1.5149231162547627,2.2916693372762253
2013-10,23.356391073209593,-0.794420799650164,2.891553507819906
2013-11,26.08123506700676,-1.0835165653671486,1.5192680899915054
2013-12,28.454581331421302,-1.6287798547327648,1.20590244290248
2014-01,25.003350718204242,-0.1744745362784017,-1.4890162405484908
2014-02,29.325201449536387,0.26513109411472335,2.7689526909565365
2014-03,30.01844809344938,0.09242819374046807,0.3468668261980934
2014-04,30.399270791415034,0.824289553224089,0.5212381625728413
2014-05,32.40490172952356,1.5952901422690347,1.5117787984830944
2014-06,34.56235046786959,1.6752589055262335,1.3264567483105005
2014-07,32.711037107590585,1.4817329015730074,-1.1881984177486937
2014-08,36.53725049518787,2.469382172908563,2.690787741092595
2014-09,34.619526884835686,1.9152719931408435,-1.3722782381183982
2014-10,37.29948519186844,2.7406759637642497,1.938136572469018
2014-11,39.57656848511202,3.3978542999260952,1.629121310410884
2014-12,39.44646609691047,3.4062947609971306,-0.07468524849251423
2015-01,36.544981724291524,5.288370681747057,-0.9880602552713967
2015-02,41.90194510287203,4.497101663793246,2.8976704199667775
2015-03,40.571597722353424,4.93051359823683,-0.6248436545337288
2015-04,41.14934243124316,4.6623632198040115,0.2393866739607153
2015-05,42.29259743182365,4.433679719693885,0.594479600304243
2015-06,40.37331732240952,3.507255137948196,-1.522137898346756
2015-07,42.141046300421394,4.157722623391258,1.320824380984349
2015-08,36.03936720610732,3.916636636613114,-3.7574418512997005
2015-09,33.46536633723893,4.548614011672525,-1.2916095712972675
2015-10,41.25489474265913,4.606005265951008,4.696673544963511
2015-11,41.52621405803869,4.362467874411768,0.06537663261203974
2015-12,39.59026455118316,4.052168254070909,-1.2856895522496603
2016-01,34.51005335337654,5.27568088254281,-2.558721667295209
2016-02,34.38956876056407,5.854798108962999,0.15935613488059056
2016-03,41.00512319945899,6.723317039010389,4.316740235355909
2016-04,41.406938112332,7.086144038098496,0.3862197473590489
2016-05,43.02371706032518,7.072662005857033,0.964674555899323
2016-06,43.285870607932864,8.690872350686107,0.8045762664962375
2016-07,46.90068504295789,9.302317090477619,2.4134665569316205
2016-08,46.86816529669816,9.207346605868105,-0.057500041599642955
2016-09,46.80366705062892,9.152850771829435,-0.06049728125701482
2016-10,44.71855047376599,8.43529283833483,-1.5380931195156022
2016-11,48.69939584498204,6.201103599167501,1.4948315270627033
2016-12,50.59048637495144,6.3543666832753924,1.1959595516247943
2017-01,52.29574242005529,6.588220116708777,1.1166950004356657
2017-02,55.80009966800314,7.318109895303882,2.3945702602067542
2017-03,55.74791840770281,7.306551678542107,-0.0359320428849097
2017-04,56.660797926069485,8.015656755502166,0.8313697418040268
2017-05,57.60335207083818,8.709249906632767,0.8429697473134555
2017-06,58.24836421690184,8.664588662473262,0.36914278997439487
2017-07,60.06879806570599,9.088387696737112,1.2617799229880289
2017-08,59.95544844631518,9.887042967758498,0.2514523367740673
2017-09,62.170092743659296,9.39314998297044,1.1312293844912458
2017-10,64.33158302260352,9.399912438742366,1.29959914967531
2017-11,67.18408907439922,9.282460479984358,1.6645228475742169
2017-12,68.06047041610601,9.70897128407471,0.6964331266602142
2018-01,73.28451544412125,8.677753123764656,2.7219397526851186
2018-02,69.52673670797031,7.879910688598449,-2.5738042157570473
2018-03,67.33580007148197,8.401300953052319,-1.1060058761114555
2018-04,67.70309847941225,7.683961357719852,-0.06655679337481683
2018-05,70.129209640274,8.092960493419213,1.6192663507967977
2018-06,70.64491237813826,8.084369255553451,0.30598514757225415
2018-07,74.07041302796009,8.216925937727119,2.1083230627625604
2018-08,77.12784159861219,8.751707543644352,2.0483697847581595
2018-09,77.33823758874686,8.240842937185814,-0.07810824850261301
2018-10,70.05810536526431,7.602508538373801,-4.623413093614341
2018-11,72.02767109062981,7.961823808239002,1.3254655431653783
2018-12,62.47466203417347,9.705342351967852,-5.034398016382265
2019-01,70.414123239731,10.63434248915889,5.135276778210933
2019-02,73.47803043644795,10.63079957135157,1.8369271509072436
2019-03,74.9950598329414,12.470019845658111,1.6459057476186811
2019-04,78.86779681324813,12.482292771886286,2.3285513586753166
2019-05,71.98567235906073,14.154842616571164,-3.460254734638488
2019-06,78.74794856247817,15.297826293971797,4.514559193010722
2019-07,80.06000114638785,15.612311773609214,0.9130257422007704
2019-08,78.21165548472794,18.040732694284138,-0.1376390287259709
2019-09,80.05563082738861,17.528328152925567,0.9014233890529777
2019-10,82.08578666945652,17.794662332445203,1.3246271770486029
2019-11,85.3994667884387,17.778795236343175,1.981861232948494
2019-12,88.22822507953133,17.68263272549459,1.6587899703161415
2020-01,87.85888018012747,19.60990771098611,0.5493030545542954
2020-02,79.19898425295844,21.207223121022547,-4.5570113922868405
2020-03,68.75114827916468,20.542086010297837,-6.5347564285661335
2020-04,81.48947232583647,22.162443218280128,8.29113731119599
2020-05,86.27450877166702,22.74368588316045,3.103518933450451
2020-06,88.48069982297157,23.44239428915953,1.6031979931823703
2020-07,93.84176558282317,24.920852642666926,3.8080227973139125
2020-08,100.3894382101623,24.07958376376268,3.5920960248417804
2020-09,96.64154046323627,24.117109674032214,-2.2337282840478068
2020-10,94.40736701600305,23.702364228429953,-1.506402246580831
2020-11,105.07452699706025,24.71740213257653,6.806311150292947
2020-12,109.01090093741189,24.874612201343542,2.4247083917177914
2021-01,108.33627170375289,24.265947927872748,-0.648243249583722
2021-02,111.3554304836889,22.890312507711954,1.261241099897299
2021-03,115.63059136815374,21.7174662190471,2.095958015212966
2021-04,120.6607660403561,22.460799364339337,3.3154380614383028
2021-05,121.29544274043361,22.685482619465738,0.47067932209707175
2021-06,123.27068544037976,23.48541846447725,1.5051199579722918
2021-07,125.34254796748037,24.51259548593946,1.65398832484525
2021-08,128.14794879754086,24.399299258022168,1.6379220068693832
2021-09,123.44354292812207,23.604862235361292,-3.140418330715626
2021-10,130.04082237251558,23.563066520644597,3.9416493807494213
2021-11,129.10296499041928,23.84716953944706,-0.44907322173679975
2021-12,133.52970869367584,23.513225383548555,2.522468559594544
2022-01,128.09623807825236,21.59032935243762,-4.02924078169847
2022-02,125.43650957018409,20.39028208794197,-2.075856010639223
2022-03,128.97839006788385,17.83352704498983,1.102426281439004
2022-04,120.13764611139437,14.3786899123593,-6.686381226945895
2022-05,120.60823446372017,14.886260319628043,0.48538117430297456
2022-06,112.11511153795651,13.476502959357108,-5.6597766995665655
2022-07,121.09397790514386,15.534214931772008,6.210404609278372
2022-08,116.97754532522106,13.182298094780112,-3.4106262827504397
2022-09,107.4021079619774,9.22941400891182,-7.326416052293509
2022-10,115.63355939983225,8.0622955781281,4.472023490399417
2022-11,118.9917550299803,9.58931226015304,2.625724050898801
